"task","sim","resample","n","K","p_switch","p_in","p_out","T_layers","weights","fit_type","algorithm","B","R_truth","cov_K_mean","cov_P_mean","cov_P_same","cov_P_diff","width_K_mean","width_P_mean"
1,1,"edges",303,5,0.408180419760756,0.303933208226226,0.111475218597334,10,"aligned","overlap","louvain",8,5,1,0.993902039210544,0.985161649579089,0.996089554930686,0,0.325069189689476
1,2,"edges",129,8,0.453528031310998,0.395256377954502,0.0496812900551595,14,"orthogonal","jaccard","louvain",8,5,0.928571428571429,0.609738372093023,0.485238971841549,0.627832773467305,2.64464285714286,0.410784082000666
1,3,"edges",76,4,0.471178924459964,0.240367189969402,0.0292326974519528,13,"aligned","weighted_jaccard","leiden",8,5,0,0.697381916329285,0.440203287197232,0.782929285662902,2.74807692307692,0.385094932762143
