"task","sim","resample","n","K","p_switch","p_in","p_out","density","T_layers","weights","fit_type","algorithm","B","R_truth","cov_K_mean","cov_P_mean","cov_P_same","cov_P_diff","width_K_mean","width_P_mean"
1,1,"edges",200,5,0.5,0.2,0.1,"weak",15,"binary","jaccard","leiden",8,5,0,0.590519262981575,0.623139218387715,0.5823953268447,2.18166666666667,0.44087918916876
1,2,"edges",200,5,0.5,0.2,0.1,"weak",15,"binary","jaccard","leiden",8,5,0.0666666666666667,0.597876046901173,0.626267019034557,0.590765518570339,2.17,0.438204825859649
1,3,"edges",200,5,0.5,0.2,0.1,"weak",15,"binary","jaccard","leiden",8,5,0,0.601554438860971,0.633036298645723,0.59370225732595,2.335,0.438167615508569
